autor	comentario	likes	date	PUBLICACION_CLEAN
Exitosa Noticias	"Exitosa Perú: La voz de los que no tienen voz<br>➡ <a href=""http://bit.ly/ExitosaNoticiasYouTube"">http://bit.ly/ExitosaNoticiasYouTube</a> ⬅<br>¡Mantente siempre informado activando la 🔔 de notificaciones!"	2	2022-03-15T16:08:27Z	Exitosa Perú: La voz de los que no tienen voz ➡  ⬅ ¡Mantente siempre informado activando la 🔔 de notificaciones!
Mary Palma	Vergüenza esta presentación.	0	2022-03-19T23:05:51Z	Vergüenza esta presentación.
Luis Avelino	Q VTV buenas	0	2022-03-17T02:09:58Z	Q VTV buenas
Anggelo Rodriguez	Estás defiendo a un inepto corrupto, abogado Pachas 🤦🏽‍♂️	0	2022-03-16T23:11:46Z	Estás defiendo a un inepto corrupto, abogado Pachas 🤦🏽‍♂️
ricks andy	Lo mejor seria marchar y que se vallan todos y todas y nuevas elecciones con gente nueva ya no los que postularon , ni en epocas pasadas	1	2022-03-16T21:53:33Z	Lo mejor seria marchar y que se vallan todos y todas y nuevas elecciones con gente nueva ya no los que postularon , ni en epocas pasadas
RICARDO Pérez	Lucar debés darte unas vacaciones tus preguntas. no tiene sentido o eres mermelero	0	2022-03-16T18:28:08Z	Lucar debés darte unas vacaciones tus preguntas. no tiene sentido o eres mermelero
Carmen Flores	Otro títere vendido.	0	2022-03-16T14:24:51Z	Otro títere vendido.
Paola Pingo	Está fuera se siii<br>Esta desquiciada  ?<br>Tanto se CREE ???	0	2022-03-16T14:22:22Z	Está fuera se siii Esta desquiciada ? Tanto se CREE ???
Neli Ari	Este abogado  es otro corrupto conpichado  de castillo	0	2022-03-16T13:30:59Z	Este abogado es otro corrupto conpichado de castillo
Marita Morillo	La malcriada tiene una lengua kilométrica y venenosa. Todo lo hace con el interés desmedido que tiene de llegar al Sillón Presidencial. Ella tiene que saber que  NO tiene  los requisitos que  los peruanos esperan. Ella llegó a ser congresista con 28:000. VOTOS. Además ella ha demostrado mucho despreció mucha discriminacion y odio por los pobres del Peru. Esta mujer no tiene legitimidad, el pueblo NO la quiere.<br>Pedro Castillo obtuvo  más de 8 millones de VOTOS. Los pobres del Peru y Dios pusieron a Pedro Castillo como Presidente del Peru para gobernar 5 años.	0	2022-03-16T09:38:46Z	La malcriada tiene una lengua kilométrica y venenosa. Todo lo hace con el interés desmedido que tiene de llegar al Sillón Presidencial. Ella tiene que saber que NO tiene los requisitos que los peruanos esperan. Ella llegó a ser congresista con 28:000. VOTOS. Además ella ha demostrado mucho despreció mucha discriminacion y odio por los pobres del Peru. Esta mujer no tiene legitimidad, el pueblo NO la quiere. Pedro Castillo obtuvo más de 8 millones de VOTOS. Los pobres del Peru y Dios pusieron a Pedro Castillo como Presidente del Peru para gobernar 5 años.
